complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,"Matched ""large pothole"" for Pothole.",
PM-202402,Pothole,Urgent,"Matched ""deep pothole"" for Pothole; severity term ""child"" makes priority Urgent.",
PM-202406,Flooding,Standard,"Matched ""underpass flooded"" for Flooding.",
PM-202408,Flooding,Standard,"Matched ""bus stand flooded"" for Flooding.",
PM-202410,Streetlight,Standard,"Matched ""streetlight"" for Streetlight.",
PM-202411,Streetlight,Urgent,"Matched ""streetlight"" for Streetlight; severity term ""hazard"" makes priority Urgent.",
PM-202413,Waste,Standard,"Matched ""garbage"" for Waste.",
PM-202418,Noise,Standard,"Matched ""music"" for Noise.",
PM-202419,Road Damage,Standard,"Matched ""road surface cracked"" for Road Damage.",
PM-202420,Drain Blockage,Urgent,"Matched ""manhole cover missing"" for Drain Blockage; severity term ""injury"" makes priority Urgent.",
PM-202427,Flooding,Standard,"Matched ""floods"" for Flooding.",
PM-202428,Waste,Standard,"Matched ""dead animal"" for Waste.",
PM-202430,Streetlight,Standard,"Matched ""lights out"" for Streetlight.",
PM-202433,Waste,Standard,"Matched ""waste"" for Waste.",
PM-202446,Road Damage,Urgent,"Matched ""footpath tiles broken"" for Road Damage; severity term ""fell"" makes priority Urgent.",
