complaint_id,category,priority,reason,flag
GH-202401,Flooding,Urgent,"Matched ""underpass flooded"" for Flooding; severity term ""ambulance"" makes priority Urgent.",
GH-202402,Flooding,Standard,"Matched ""flooded"" for Flooding.",
GH-202406,Drain Blockage,Standard,"Matched ""stormwater drain"" for Drain Blockage.",
GH-202407,Drain Blockage,Standard,"Matched ""drain blocked"" for Drain Blockage.",
GH-202410,Pothole,Standard,"Matched ""pothole"" for Pothole.",
GH-202411,Pothole,Urgent,"Matched ""pothole"" for Pothole; severity term ""hospital"" makes priority Urgent.",
GH-202412,Pothole,Urgent,"Matched ""pothole"" for Pothole; severity term ""school"" makes priority Urgent.",
GH-202417,Waste,Standard,"Matched ""garbage"" for Waste.",
GH-202420,Noise,Standard,"Matched ""drilling"" for Noise.",
GH-202422,Road Damage,Urgent,"Matched ""road collapsed"" for Road Damage; severity term ""collapse"" makes priority Urgent.",
GH-202424,Flooding,Standard,"Matched ""floods"" for Flooding.",
GH-202428,Waste,Standard,"Matched ""waste"" for Waste.",
GH-202432,Noise,Standard,"Matched ""idling"" for Noise.",
GH-202448,Drain Blockage,Standard,"Matched ""main drain blocked"" for Drain Blockage.",
GH-202438,Flooding,Standard,"Matched ""rainwater"" for Flooding.",
